"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"118846814639243265","","","2011-09-28 00:37:43 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","RT @3deellos: Se vienen Shows en Capital Federal, Zona Oeste y Zona Sur!!! #hdsradio Juan","","","",""
"57106481467760641","","","2011-04-10 15:43:40 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","Quien nos dice la verdad...quien esta mintiendo?","","","",""
"51839108762435584","51811915260899328","186449951","2011-03-27 02:53:01 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","@bar_estrellitas Que pasa bebu?","","","",""
"49967606563733504","","","2011-03-21 22:56:20 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","RT @bunburyoficial: BUNBURY - El Extranjero (Gran Rex) http://fb.me/GHFXylfd","49939400146157568","106876550","2011-03-21 21:04:15 +0000",""
"48215146807570432","48210724647997440","145741959","2011-03-17 02:52:41 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","@rosalesmanu Mañana te cuento, y te lo paso. Nos vemos","","","",""
"48208686694400000","","","2011-03-17 02:27:01 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","RT @Juan_HDS_: @marininga mientras dure el dinero y dure el empeño ladrillo a ladrillo quedan años después. ""Si estas dispuesto""","","","",""
"48205631227838464","48204852735639552","186449951","2011-03-17 02:14:52 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","@bar_estrellitas Cansado, queriendo ir a casa, mañana te llamo, beso..ah manda tu id nextel x priv.","","","",""
"48204185069568000","48187740629643264","186449951","2011-03-17 02:09:07 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","@bar_estrellitas =)","","","",""
"48197952153460736","","","2011-03-17 01:44:21 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","Esperando un milagro...","","","",""
"48197568760516608","","","2011-03-17 01:42:50 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","http://twitpic.com/4a6fnr","","","",""
"41983807049441280","","","2011-02-27 22:11:34 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","RT @bunburyoficial: ""La juventud, no te acompañará / los próximos mil años.""","41978584318869504","106876550","2011-02-27 21:50:49 +0000",""
"41309634908135424","","","2011-02-26 01:32:39 +0000","<a href=""http://mobileways.de/gravity"" rel=""nofollow"">Gravity</a>","RT @bunburyoficial: FREEK magazine diseña BUNBURY Gran Rex

DOBLE DISCO EN DIRECTO (TRIPLE VINILO) http://fb.me/AISNC3ry","41309016730771456","106876550","2011-02-26 01:30:11 +0000",""
"31411189275688962","","","2011-01-29 17:59:45 +0000","<a href=""http://www.tweets60.com/"" rel=""nofollow"">Tweets60</a>","RT @lolybunbury Detrás de un ""me da miedo quererte"" hay un ""me da miedo tenerte que olvidar"".","","","",""
"29140796439531520","","","2011-01-23 11:38:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@marininga mientras dure el dinero y dure el empeño ladrillo a ladrillo quedan años después.","","","",""
"21415566837288960","","","2011-01-02 04:00:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Felicidades! a remar el año che!","","","",""
